country_code,country_name,year,life_expectancy_years,income_per_person_ppp_usd,population,region,income_level
fji,Fiji,2025,69.210000,14765.582320,933154,asia,Level 3
ind,India,2025,72.400000,10607.623100,1463865525,asia,Level 2
idn,Indonesia,2025,72.250000,15391.069110,285721236,asia,Level 3
irn,Iran,2025,79.070000,16539.722860,92417681,asia,Level 3
irq,Iraq,2025,73.980000,12554.131170,47020774,asia,Level 3
isr,Israel,2025,83.860000,49539.472690,9517181,asia,Level 4
jpn,Japan,2025,85.580000,47815.398880,123103479,asia,Level 4
jor,Jordan,2025,79.200000,9977.120980,11520684,asia,Level 2
kaz,Kazakhstan,2025,72.650000,38237.521030,20843754,asia,Level 4
kir,Kiribati,2025,61.660000,3420.856890,136488,asia,Level 2
kwt,Kuwait,2025,82.620000,46572.357640,5026078,asia,Level 4
kgz,Kyrgyz Republic,2025,74.360000,7567.343340,7295034,asia,Level 2
lao,Lao,2025,70.650000,8943.691200,7873046,asia,Level 2
lbn,Lebanon,2025,77.430000,10819.796510,5849421,asia,Level 2
mys,Malaysia,2025,76.030000,35989.794880,35977838,asia,Level 3
mdv,Maldives,2025,80.460000,24629.315920,529676,asia,Level 3
fsm,"Micronesia, Fed. Sts.",2025,65.000000,3967.762630,113683,asia,Level 2
mng,Mongolia,2025,69.640000,18091.880700,3517100,asia,Level 3
mmr,Myanmar,2025,70.760000,5493.954190,54850648,asia,Level 2
npl,Nepal,2025,72.900000,5329.636990,29618118,asia,Level 2
nzl,New Zealand,2025,82.650000,49598.265060,5251899,asia,Level 4
prk,North Korea,2025,73.910000,1542.774480,26571036,asia,Level 1
omn,Oman,2025,75.280000,37310.775320,5494691,asia,Level 4
pak,Pakistan,2025,66.710000,5717.175430,255219554,asia,Level 2
pse,Palestine,2025,75.850000,3909.198270,5589623,asia,Level 2
png,Papua New Guinea,2025,65.610000,4521.773590,10762817,asia,Level 2
phl,Philippines,2025,72.470000,11116.637750,116786962,asia,Level 2
qat,Qatar,2025,77.310000,116057.335900,3115889,asia,Level 4
wsm,Samoa,2025,71.360000,7412.517890,219306,asia,Level 2
sau,Saudi Arabia,2025,75.660000,64965.703050,34566328,asia,Level 4
sgp,Singapore,2025,85.630000,137905.979100,5870750,asia,Level 4
slb,Solomon Islands,2025,59.800000,2615.329490,838645,asia,Level 1
kor,South Korea,2025,83.630000,54667.242520,51667029,asia,Level 4
lka,Sri Lanka,2025,78.510000,14379.814700,23229470,asia,Level 3
syr,Syria,2025,74.840000,4085.720110,25620427,asia,Level 2
tjk,Tajikistan,2025,70.400000,5122.384720,10786734,asia,Level 2
tha,Thailand,2025,79.780000,22695.946680,71619863,asia,Level 3
tls,Timor-Leste,2025,72.180000,4352.935620,1418517,asia,Level 2
ton,Tonga,2025,73.810000,7839.229180,103742,asia,Level 2
tkm,Turkmenistan,2025,71.640000,18623.634590,7618847,asia,Level 3
are,UAE,2025,74.940000,72660.144870,11346000,asia,Level 4
uzb,Uzbekistan,2025,69.070000,11127.009740,37053428,asia,Level 2
vut,Vanuatu,2025,66.580000,3188.800020,335169,asia,Level 1
vnm,Vietnam,2025,75.440000,15429.335260,101598527,asia,Level 3
yem,Yemen,2025,69.270000,1721.891430,41773878,asia,Level 1
alb,Albania,2025,79.670000,20361.792770,2771508,europe,Level 3
arm,Armenia,2025,76.870000,21539.011470,2952365,europe,Level 3
aut,Austria,2025,83.170000,64665.018760,9113574,europe,Level 4
aze,Azerbaijan,2025,71.730000,23177.533430,10397713,europe,Level 3
blr,Belarus,2025,75.210000,28456.778560,8997603,europe,Level 3
bel,Belgium,2025,82.330000,65096.122620,11758603,europe,Level 4
bih,Bosnia and Herzegovina,2025,77.910000,21620.748360,3140095,europe,Level 3
bgr,Bulgaria,2025,74.330000,36210.728160,6714560,europe,Level 4
hrv,Croatia,2025,79.650000,45156.128900,3848160,europe,Level 4
cyp,Cyprus,2025,81.770000,55720.003540,1370754,europe,Level 4
cze,Czech Republic,2025,80.330000,50179.533860,10609239,europe,Level 4
dnk,Denmark,2025,82.020000,77336.971790,6002507,europe,Level 4
est,Estonia,2025,79.010000,42892.095440,1344232,europe,Level 4
fin,Finland,2025,82.840000,57574.236120,5623329,europe,Level 4
fra,France,2025,83.770000,56112.812380,66650804,europe,Level 4
geo,Georgia,2025,74.470000,27204.561130,3806671,europe,Level 3
deu,Germany,2025,82.130000,64355.007450,84075075,europe,Level 4
grc,Greece,2025,82.070000,39621.406730,9938844,europe,Level 4
hun,Hungary,2025,77.570000,42498.587380,9632287,europe,Level 4
isl,Iceland,2025,84.920000,67443.743800,398266,europe,Level 4
irl,Ireland,2025,82.940000,119406.225600,5308039,europe,Level 4
ita,Italy,2025,84.040000,54773.819410,59146260,europe,Level 4
lva,Latvia,2025,76.670000,40852.070260,1853559,europe,Level 4
ltu,Lithuania,2025,77.190000,49761.397950,2830144,europe,Level 4
lux,Luxembourg,2025,83.820000,131037.523700,680453,europe,Level 4
mlt,Malta,2025,83.480000,63314.499550,545405,europe,Level 4
mda,Moldova,2025,75.220000,17488.863010,2996106,europe,Level 3
mne,Montenegro,2025,76.920000,29492.079230,632729,europe,Level 3
nld,Netherlands,2025,82.550000,73384.140800,18346819,europe,Level 4
mkd,North Macedonia,2025,75.300000,26049.020920,1813791,europe,Level 3
nor,Norway,2025,83.780000,94895.854330,5623071,europe,Level 4
pol,Poland,2025,79.100000,47891.515370,38140910,europe,Level 4
prt,Portugal,2025,82.790000,43664.498900,10411834,europe,Level 4
rou,Romania,2025,76.490000,42605.119980,18908650,europe,Level 4
rus,Russia,2025,73.890000,40870.616720,143997393,europe,Level 4
srb,Serbia,2025,76.660000,28758.379170,6689039,europe,Level 3
svk,Slovak Republic,2025,78.580000,41977.515530,5474881,europe,Level 4
svn,Slovenia,2025,82.450000,50558.744040,2117072,europe,Level 4
esp,Spain,2025,83.870000,50242.027740,47889958,europe,Level 4
swe,Sweden,2025,83.720000,65596.663520,10656633,europe,Level 4
che,Switzerland,2025,84.850000,84310.931100,8967407,europe,Level 4
tur,Turkey,2025,79.660000,36992.965790,87685426,europe,Level 4
gbr,UK,2025,81.930000,53993.248470,69551332,europe,Level 4
ukr,Ukraine,2025,74.890000,15014.257150,38980376,europe,Level 3
